U+1000: က,
U+1001: ခ,
U+1002: ဂ,
U+1003: ဃ,
U+1004: င,
U+1005: စ,
U+1006: ဆ,
U+1007: ဇ,
U+1008: ဈ,
U+1009: ဉ,
U+100A: ည,
U+100B: ဋ,
U+100C: ဌ,
U+100D: ဍ,
U+100E: ဎ,
U+100F: ဏ,
U+1010: တ,
U+1011: ထ,
U+1012: ဒ,
U+1013: ဓ,
U+1014: န,
U+1015: ပ,
U+1016: ဖ,
U+1017: ဗ,
U+1018: ဘ,
U+1019: မ,
U+101A: ယ,
U+101B: ရ,
U+101C: လ,
U+101D: ဝ,
U+101E: သ,
U+101F: ဟ,
U+1020: ဠ,
U+1021: အ,
U+1022: ဢ,
U+1023: ဣ,
U+1024: ဤ,
U+1025: ဥ,
U+1026: ဦ,
U+1027: ဧ,
U+1028: ဨ,
U+1029: ဩ,
U+102A: ဪ,
U+102B: ါ,
U+102C: ာ,
U+102D: ိ,
U+102E: ီ,
U+102F: ု,
U+1030: ူ,
U+1031: ေ,
U+1032: ဲ,
U+1033: ဳ,
U+1034: ဴ,
U+1035: ဵ,
U+1036: ံ,
U+1037: ့,
U+1038: း,
U+1039: ္,
U+103A: ်,
U+103B: ျ,
U+103C: ြ,
U+103D: ွ,
U+103E: ှ,
U+103F: ဿ,
U+1040: ၀,
U+1041: ၁,
U+1042: ၂,
U+1043: ၃,
U+1044: ၄,
U+1045: ၅,
U+1046: ၆,
U+1047: ၇,
U+1048: ၈,
U+1049: ၉,
U+104A: ၊,
U+104B: ။,
U+104C: ၌,
U+104D: ၍,
U+104E: ၎,
U+104F: ၏,
U+1050: ၐ,
U+1051: ၑ,
U+1052: ၒ,
U+1053: ၓ,
U+1054: ၔ,
U+1055: ၕ,
U+1056: ၖ,
U+1057: ၗ,
U+1058: ၘ,
U+1059: ၙ,
U+105A: ၚ,
U+105B: ၛ,
U+105C: ၜ,
U+105D: ၝ,
U+105E: ၞ,
U+105F: ၟ,
U+1060: ၠ,
U+1061: ၡ,
U+1062: ၢ,
U+1063: ၣ,
U+1064: ၤ,
U+1065: ၥ,
U+1066: ၦ,
U+1067: ၧ,
U+1068: ၨ,
U+1069: ၩ,
U+106A: ၪ,
U+106B: ၫ,
U+106C: ၬ,
U+106D: ၭ,
U+106E: ၮ,
U+106F: ၯ,
U+1070: ၰ,
U+1071: ၱ,
U+1072: ၲ,
U+1073: ၳ,
U+1074: ၴ,
U+1075: ၵ,
U+1076: ၶ,
U+1077: ၷ,
U+1078: ၸ,
U+1079: ၹ,
U+107A: ၺ,
U+107B: ၻ,
U+107C: ၼ,
U+107D: ၽ,
U+107E: ၾ,
U+107F: ၿ,
U+1080: ႀ,
U+1081: ႁ,
U+1082: ႂ,
U+1083: ႃ,
U+1084: ႄ,
U+1085: ႅ,
U+1086: ႆ,
U+1087: ႇ,
U+1088: ႈ,
U+1089: ႉ,
U+108A: ႊ,
U+108B: ႋ,
U+108C: ႌ,
U+108D: ႍ,
U+108E: ႎ,
U+108F: ႏ,
U+1090: ႐,
U+1091: ႑,
U+1092: ႒,
U+1093: ႓,
U+1094: ႔,
U+1095: ႕,
U+1096: ႖,
U+1097: ႗,
U+1098: ႘,
U+1099: ႙,
U+109A: ႚ,
U+109B: ႛ,
U+109C: ႜ,
U+109D: ႝ,
U+109E: ႞,
U+109F: ႟,
U+10A0: Ⴀ,
U+10A1: Ⴁ,
U+10A2: Ⴂ,
U+10A3: Ⴃ,
U+10A4: Ⴄ,
U+10A5: Ⴅ,
U+10A6: Ⴆ,
U+10A7: Ⴇ,
U+10A8: Ⴈ,
U+10A9: Ⴉ,
U+10AA: Ⴊ,
U+10AB: Ⴋ,
U+10AC: Ⴌ,
U+10AD: Ⴍ,
U+10AE: Ⴎ,
U+10AF: Ⴏ,
U+10B0: Ⴐ,
U+10B1: Ⴑ,
U+10B2: Ⴒ,
U+10B3: Ⴓ,
U+10B4: Ⴔ,
U+10B5: Ⴕ,
U+10B6: Ⴖ,
